batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
6121231,02:01:3dawd1,2.52,9.52,1.41,5.9,2.25,2.0,9.65,7.96,1.05,2.87
642,02:01:31,5.52,3.51,8.28,5.69,4.31,8.09,7.09,1.32,2.9,6.09
66,02:01:31,3.12,7.2,1.61,1.85,5.04,8.13,6.38,1.99,8.06,7.41
66,02:01:31,4.83,4.97,1.98,4.25,1.5,6.15,2.3,3.72,5.33,5.05
536,02:01:31,5.55,2.95,3.59,5.54,2.98,42.16,6.73,1.94,3.11,8.78
170,02:01:31,9.44,6.08,7.0,4.98,6.51,8.43,7.72,2.49,1.85,7.22
754,02:01:31,7.61,4.92,5.53,9.14,2.05,4.3,4.0,4.68,6.86,1.42
853,02:01:31,8.09,5.67,4.79,6.08,9.59,5.57,7.51,7.34,9.14,3.58
15,02:01:31,8.92,4.38,1.28,3.78,2.83,4.36,7.12,4.48,9.64,9.4
566,02:01:31,6.19,3.37,6.25,8.8,9.5,5.73,4.32,2.58,4.2,2.52
